,field,value
0,last_price,307.3399963378906
1,market_cap,4514011939253.296
2,shares,14687356000
3,currency,USD
4,year_high,316.94000244140625
5,year_low,195.07000732421875
6,fifty_day_average,281.2373999023437
7,two_hundred_day_average,265.1930993652344
8,longName,Apple Inc.
9,sector,Technology
10,industry,Consumer Electronics
11,marketCap,4514011676672
12,trailingPE,37.16324
13,forwardPE,31.988194
14,priceToBook,42.333332
15,dividendYield,0.35
16,beta,1.086
17,profitMargins,0.27152002
18,grossMargins,0.47862
19,returnOnEquity,1.4147099
20,totalRevenue,451442016256
21,totalCash,68507000832
22,totalDebt,84710998016
23,freeCashflow,101090746368
