,field,value
0,last_price,246.02999877929688
1,market_cap,2646571621407.843
2,shares,10757109436
3,currency,USD
4,year_high,278.55999755859375
5,year_low,196.0
6,fifty_day_average,251.15760040283203
7,two_hundred_day_average,232.1283000946045
8,longName,"Amazon.com, Inc."
9,sector,Consumer Cyclical
10,industry,Internet Retail
11,marketCap,2646571745280
12,trailingPE,31.664093
13,forwardPE,24.942696
14,priceToBook,5.987151
15,dividendYield,
16,beta,1.444
17,profitMargins,0.12224
18,grossMargins,0.50604
19,returnOnEquity,0.24285
20,totalRevenue,742775980032
21,totalCash,143088992256
22,totalDebt,235540004864
23,freeCashflow,9806624768
