,field,value
0,last_price,416.6700134277344
1,market_cap,3095205987862.728
2,shares,7428434704
3,currency,USD
4,year_high,555.4500122070312
5,year_low,356.2799987792969
6,fifty_day_average,408.3499993896484
7,two_hundred_day_average,456.3803997802734
8,longName,Microsoft Corporation
9,sector,Technology
10,industry,Software - Infrastructure
11,marketCap,3095206035456
12,trailingPE,24.816557
13,forwardPE,21.53399
14,priceToBook,7.4702835
15,dividendYield,0.87
16,beta,1.103
17,profitMargins,0.39341998
18,grossMargins,0.68309
19,returnOnEquity,0.34013999
20,totalRevenue,318272995328
21,totalCash,78227996672
22,totalDebt,125431996416
23,freeCashflow,37011251200
