,field,value
0,last_price,205.10000610351562
1,market_cap,4967727247833.252
2,shares,24221000000
3,currency,USD
4,year_high,236.5399932861328
5,year_low,140.85000610351562
6,fifty_day_average,203.44700103759766
7,two_hundred_day_average,188.57310050964355
8,longName,NVIDIA Corporation
9,sector,Technology
10,industry,Semiconductors
11,marketCap,4967727366144
12,trailingPE,31.457056
13,forwardPE,16.172209
14,priceToBook,31.69036
15,dividendYield,0.49
16,beta,2.202
17,profitMargins,0.62966
18,grossMargins,0.74144995
19,returnOnEquity,1.14288
20,totalRevenue,253491003392
21,totalCash,53171998720
22,totalDebt,12814000128
23,freeCashflow,46335873024
