,field,value
0,last_price,141.9199981689453
1,market_cap,193996259391.77634
2,shares,1366940966
3,currency,USD
4,year_high,171.47999572753906
5,year_low,127.5999984741211
6,fifty_day_average,152.29679962158204
7,two_hundred_day_average,150.46619964599608
8,longName,"PepsiCo, Inc."
9,sector,Consumer Defensive
10,industry,Beverages - Non-Alcoholic
11,marketCap,193996259328
12,trailingPE,22.279434
13,forwardPE,15.528575
14,priceToBook,9.079393
15,dividendYield,4.17
16,beta,0.359
17,profitMargins,0.09149
18,grossMargins,0.54383
19,returnOnEquity,0.43879002
20,totalRevenue,95448997888
21,totalCash,10828000256
22,totalDebt,52728000512
23,freeCashflow,8746250240
